kb_id,category,topic,content,source_doc,last_updated,applies_to_products,requires_authority_check
BL-006,billing,chargeback_policy,"Customers who initiate a chargeback through their card issuer rather than requesting a refund through the company's standard channels should expect a delayed and more procedural process. Chargebacks are routed to the disputes team, which investigates each case independently. Typical investigation duration is 30 calendar days from the date the company is notified of the chargeback by the payment processor. During the investigation the customer's account may be flagged for review, and further orders may be held pending the outcome. The company recommends customers attempt resolution through standard support channels first; chargebacks should be reserved for situations where the customer has been unable to obtain a satisfactory response through normal means. Successful chargebacks are credited by the card issuer; unsuccessful chargebacks may incur a processing fee from the card issuer.","Billing Policy v2.1, §4.1",2025-08-30,,true
BL-007,billing,currency_and_vat,"All prices displayed on the website are in euros (EUR) and include applicable value-added tax. The default VAT rate for orders shipped within Portugal is 23%, reflecting the standard Portuguese rate. Orders shipped to other European Union destinations are subject to the destination country's VAT rate, which is applied automatically at checkout based on the shipping address. Customers in EU countries can view the VAT portion of their order in the price breakdown shown before payment. Orders shipped outside the European Union are not subject to EU VAT, but may be subject to import duties levied by the destination country's customs authority. The company is registered for VAT in Portugal under tax number PT500123456.","Billing Policy v2.1, §1.2",2025-08-30,,false
BL-008,billing,payment_methods,"Payment is accepted through several methods at checkout: Visa, Mastercard, and American Express credit and debit cards; PayPal accounts; Apple Pay through compatible iOS devices and macOS browsers; Google Pay through compatible Android devices and Chrome browsers; and SEPA direct debit for customers with eurozone bank accounts. All payment methods are processed through a PCI-DSS compliant payment provider; the company does not store full card numbers on its own systems. Customers may save a payment method to their account for faster future checkouts; saved payment methods are tokenised and can be removed at any time from the account settings page. Some payment methods may not be available to customers in certain destination countries due to processing restrictions.","Billing Policy v2.1, §2.1",2025-08-30,,false
BL-009,billing,failed_payment,"Orders for which the initial payment attempt fails are not placed; the customer is shown an error at checkout and prompted to correct the payment details or to select a different payment method. For orders that are placed but where a subsequent payment confirmation step fails (typical for 3D Secure flows), the system automatically retries the payment once after a short delay. If the retry also fails, the order is cancelled and the customer is notified by email with instructions on how to place the order again. No funds are captured from the customer's payment method until the order is successfully placed. Customers whose orders repeatedly fail at the payment step are advised to contact their card issuer to verify the card is authorised for online purchases.","Billing Policy v2.1, §2.4",2025-08-30,,false
BL-010,billing,invoice_request,"Invoices are generated automatically for every order at the time of dispatch and are available for download from the order detail view in the customer account. The downloadable invoice is a PDF showing the order line items, taxes, shipping, and total, along with the customer's billing address and the company's VAT registration details. VAT-registered business customers in EU countries who require a corrected invoice showing their own VAT number (for VAT reverse-charge purposes) can request such an invoice through customer support; the corrected invoice is typically issued within 2 business days. Customers requiring a physical paper invoice can request one by email; paper invoices are not provided by default for environmental reasons.","Billing Policy v2.1, §5.1",2025-08-30,,false
GN-001,general,opening_hours,"Customer support is available Monday through Friday from 09:00 to 18:00 Central European Time, and Saturday from 10:00 to 14:00 Central European Time. The support team does not operate on Sundays or on Portuguese public holidays. Outside operating hours, queries received by email or chat are queued and answered at the start of the next operating window in the order received. The company aims to respond to all queries within 4 working hours during operating hours, with priority handling for Premium and VIP customers; VIP queries are typically responded to within 1 working hour. Customers with time-sensitive queries outside operating hours should consider initiating a return or cancellation through the self-service flows in their account where available.","Operating Guidelines v4.2, §1.1",2026-01-08,,false
GN-002,general,contact_methods,"Customers can contact support through three channels. The primary channel is live chat through the support widget on the website, available during operating hours; the chat is initially handled by the autonomous support agent, with transfer to a human agent for queries outside the agent's authority or scope. The secondary channel is email at support@example.com; typical email response times are within 4 working hours during operating windows. The tertiary channel is telephone at +351 800 123 456, available during operating hours; telephone queries are routed directly to a human agent. The company recommends starting with the live chat for fastest resolution; the email channel is preferred for queries with supporting documents, and the telephone channel is preferred for complex situations requiring sustained conversation.","Operating Guidelines v4.2, §1.2",2026-01-08,,false
GN-003,general,cancellation_window,"Orders may be cancelled by the customer within 24 hours of placement, provided the order has not yet been dispatched. Cancellations within this 24-hour window are processed automatically through the order detail view in the customer account, and any payment captured is refunded to the original method without deduction. Orders that have been dispatched, or that are older than 24 hours, cannot be cancelled by the customer directly; in these cases the customer must contact support, who will assess whether cancellation is still feasible or whether the order must be received and returned through the standard returns process. Cancellations of orders requiring human agent review are escalated and typically resolved within 1 business day.","Operating Guidelines v4.2, §2.1",2026-01-08,,true
GN-004,general,company_details,The company is registered in Portugal under the commercial registry of Lisbon with company number 500123456. The registered office address is set out in full in the terms and conditions accessible from the website footer. The company is registered for value-added tax under tax number PT500123456. Correspondence may be sent to the registered office for legal purposes; correspondence regarding specific orders should be sent through customer support to ensure routing to the appropriate team. The company operates a privacy policy in accordance with the General Data Protection Regulation; the privacy policy is available at example.com/privacy and sets out how customer personal data is handled.,"Operating Guidelines v4.2, §6.1",2026-01-08,,false
GN-005,general,data_handling,"Customer personal data is handled in accordance with the General Data Protection Regulation (Regulation (EU) 2016/679) and with the equivalent provisions of the United Kingdom Data Protection Act for UK customers. The full privacy policy is available at example.com/privacy and describes the categories of data collected, the purposes for which they are processed, the legal bases for processing, the data retention periods, and the customer's rights under the regulation including the right to access, the right to rectification, the right to erasure, and the right to data portability. Customers wishing to exercise their rights can do so through the privacy section of their account settings or by contacting the company's data protection officer at the email address provided in the privacy policy.","Privacy Policy v3.0, §1",2025-12-01,,false
GN-006,general,tier_definitions,"Customers are assigned to one of three tiers based on cumulative annual spend over the preceding 12 months. Standard tier is the default for all customers and applies until spend thresholds for higher tiers are met. Premium tier is automatically conferred on customers whose 12-month spend reaches €1,000; Premium tier customers receive the extended 60-day return window, priority support routing, and quarterly account reviews. VIP tier is automatically conferred on customers whose 12-month spend reaches €5,000; VIP customers receive the 90-day return window, complimentary return shipping, expedited support response (target response within 1 working hour), and an assigned account contact for high-value orders. Tier assignments are recalculated monthly; customers can view their current tier and progress toward the next tier from their account settings.","Operating Guidelines v4.2, §4.1",2026-01-08,,false
GN-007,general,loyalty_program,"The loyalty programme awards customers 1 point for every euro spent on eligible orders. Eligible orders are all paid orders excluding returns, partial refunds, and orders cancelled before dispatch. Points are credited automatically to the customer's account at the time of order dispatch. Points may be redeemed at checkout for a discount on future orders at the rate of 100 points for a €5 discount; partial-point redemption is not supported. Points expire 24 months after the date they were earned; customers receive an email reminder 30 days before any of their points are due to expire. The loyalty programme is separate from the customer tier system; participation in the loyalty programme does not automatically confer Premium or VIP tier status.","Operating Guidelines v4.2, §5.1",2026-01-08,,false
GN-008,general,complaint_escalation_path,"Complaints that cannot be resolved by the responding customer support agent are escalated to a tier-appropriate team based on the complaining customer's tier status. Complaints from Standard-tier customers are escalated to the senior support team and typically receive a response within 1 working day. Complaints from Premium-tier customers are routed to senior support with priority handling and typically receive a response within 4 working hours. Complaints from VIP-tier customers reach the senior support manager directly and receive a response within 1 working hour during operating windows. All complaints are logged in the customer's account history regardless of resolution path, and the customer receives a written summary of the complaint's resolution by email upon closure.","Operating Guidelines v4.2, §3.1",2026-01-08,,true
GN-009,general,out_of_stock_policy,"Items that go out of stock between order placement and dispatch are handled transparently. Customers are notified by email as soon as the stock shortfall is identified, with the expected restock date and an option to either wait for the item to come back into stock, substitute the item with a similar in-stock alternative, or cancel the affected portion of the order without penalty. Orders containing both in-stock and out-of-stock items can be split, with the in-stock portion dispatched immediately and the out-of-stock portion held; no additional shipping charge is applied for the split. Customers who choose to wait are kept informed of progress by email and have the option to cancel the wait at any time before dispatch.","Operating Guidelines v4.2, §2.4",2026-01-08,,false
GN-010,general,service_countries,"The company ships to all 27 member states of the European Union, to the United Kingdom, Switzerland, Norway, and Iceland, and to the United States. Shipping to other countries is available on a case-by-case basis upon request through customer support; the response will include an estimated shipping cost and transit time for the requested destination, as well as any restrictions on specific product categories that may apply. The company does not currently ship to destinations in Africa (with the exception of EU outermost regions), Asia (with the exception of EU outermost regions), Oceania, or South America. Customers in these regions are advised to use a forwarding service if they wish to receive the company's products.","Operating Guidelines v4.2, §2.3",2026-01-08,,false
